Vector,Density,Difficulty,SMB,KI
72,15.625,0.0,0.8,0.2
73,26.5625,18.75,0.42105263157894735,0.5789473684210527
74,17.96875,0.0,0.6,0.4
75,16.40625,18.75,0.9259259259259259,0.07407407407407407
76,21.875,0.0,0.9642857142857143,0.03571428571428571
77,17.1875,0.0,0.45454545454545453,0.5454545454545454
78,21.875,0.0,0.8333333333333334,0.16666666666666666
79,20.3125,0.0,0.0,1.0
80,20.3125,18.75,0.896551724137931,0.10344827586206896
81,14.84375,0.0,0.15789473684210525,0.8421052631578947
82,17.96875,6.25,0.7916666666666666,0.20833333333333334
83,19.53125,0.0,0.8518518518518519,0.14814814814814814
84,24.21875,0.0,0.8181818181818182,0.18181818181818182
85,15.625,0.0,0.85,0.15
86,18.75,0.0,0.72,0.28
87,16.40625,0.0,0.6363636363636364,0.36363636363636365
88,11.71875,0.0,0.8,0.2
89,16.40625,0.0,0.6666666666666666,0.3333333333333333
90,15.625,0.0,0.9,0.1
91,20.3125,0.0,0.4230769230769231,0.5769230769230769
92,10.15625,0.0,0.23076923076923078,0.7692307692307693
93,17.1875,0.0,0.8181818181818182,0.18181818181818182
94,11.71875,0.0,0.8,0.2
95,15.625,0.0,0.6,0.4
96,17.1875,0.0,0.8181818181818182,0.18181818181818182
97,19.53125,0.0,0.96,0.04
98,8.59375,0.0,0.0,1.0
99,17.96875,0.0,0.9565217391304348,0.043478260869565216
100,20.3125,6.25,0.8148148148148148,0.18518518518518517
101,18.75,0.0,0.625,0.375
102,21.09375,0.0,0.4444444444444444,0.5555555555555556
103,18.75,0.0,0.9166666666666666,0.08333333333333333
104,17.96875,0.0,0.30434782608695654,0.6956521739130435
105,21.875,0.0,0.5357142857142857,0.4642857142857143
106,15.625,0.0,0.8181818181818182,0.18181818181818182
107,16.40625,6.25,0.9545454545454546,0.045454545454545456
108,11.71875,0.0,0.0,1.0
109,10.15625,0.0,0.7692307692307693,0.23076923076923078
110,15.625,0.0,0.8571428571428571,0.14285714285714285
111,10.9375,0.0,0.07142857142857142,0.9285714285714286
112,23.4375,0.0,0.5666666666666667,0.43333333333333335
113,15.625,0.0,0.6,0.4
114,23.4375,6.25,0.7096774193548387,0.2903225806451613
115,15.625,6.25,0.84,0.16
116,15.625,12.5,0.8181818181818182,0.18181818181818182
117,13.28125,0.0,0.9,0.1
118,17.96875,0.0,0.7083333333333334,0.2916666666666667
119,10.9375,6.25,0.3333333333333333,0.6666666666666666
120,10.15625,0.0,0.6923076923076923,0.3076923076923077
121,22.65625,0.0,0.3793103448275862,0.6206896551724138
122,20.3125,0.0,0.6666666666666666,0.3333333333333333
123,14.0625,0.0,0.6111111111111112,0.3888888888888889
124,17.96875,0.0,0.17391304347826086,0.8260869565217391
125,12.5,0.0,0.5625,0.4375
126,17.96875,0.0,0.5217391304347826,0.4782608695652174
127,17.1875,0.0,0.782608695652174,0.21739130434782608
128,10.9375,0.0,0.6428571428571429,0.35714285714285715
129,19.53125,0.0,0.52,0.48
130,14.0625,0.0,1.0,0.0
131,22.65625,0.0,0.6206896551724138,0.3793103448275862
132,16.40625,6.25,0.36363636363636365,0.6363636363636364
133,17.96875,6.25,0.08,0.92
134,24.21875,6.25,0.71875,0.28125
135,14.84375,6.25,0.95,0.05
136,14.84375,6.25,0.85,0.15
137,13.28125,0.0,0.29411764705882354,0.7058823529411765
138,19.53125,6.25,0.5769230769230769,0.4230769230769231
139,7.8125,0.0,0.7,0.3
140,19.53125,6.25,0.6923076923076923,0.3076923076923077
141,14.84375,0.0,0.7368421052631579,0.2631578947368421
142,15.625,0.0,0.7,0.3
143,17.1875,6.25,0.8260869565217391,0.17391304347826086
144,13.28125,12.5,0.8571428571428571,0.14285714285714285
145,14.0625,0.0,0.5555555555555556,0.4444444444444444
146,13.28125,0.0,0.17647058823529413,0.8235294117647058
147,21.09375,0.0,0.6666666666666666,0.3333333333333333
148,14.0625,0.0,0.9444444444444444,0.05555555555555555
149,19.53125,0.0,0.64,0.36
150,23.4375,6.25,0.6451612903225806,0.3548387096774194
151,15.625,0.0,0.6,0.4
