Epoch,Loss,BCE,KLD
104,11.023380501560434,10.900859852947255,0.12252071420982401
105,10.675667576058201,10.553180512927828,0.12248709782090768
106,10.531794714549232,10.409223364774512,0.12257135418987779
107,10.145251925029452,10.02285237791677,0.12239949476151239
108,9.862196705328724,9.739856901622954,0.12233989390115889
109,9.884140660523107,9.761793267789972,0.12234751572684636
110,9.636882438861504,9.514532704832693,0.12234974664355082
111,9.345151951704075,9.222568895450976,0.12258301525519638
112,9.363383015627583,9.240997879593461,0.12238512909601605
113,9.077215810301443,8.95479995485336,0.12241573308510754
114,9.75048650509466,9.628058943168195,0.12242756381867424
115,9.584746789679956,9.462335011315725,0.12241174241222402
116,9.601025979985636,9.477957225981212,0.12306867011640438
117,9.56451747026393,9.441648008962156,0.12286964358476105
