Vector,Density,Difficulty,SMB,KI
300,11.71875,0.390625,0.34375,0.65625
301,12.109375,0.0,0.7741935483870968,0.22580645161290322
302,7.421875,0.390625,0.9,0.1
303,11.71875,0.0,0.5333333333333333,0.4666666666666667
304,10.15625,0.390625,0.5185185185185185,0.48148148148148145
305,8.203125,0.390625,0.6818181818181818,0.3181818181818182
306,3.90625,0.0,0.0,1.0
307,9.765625,0.390625,0.34615384615384615,0.6538461538461539
308,8.984375,0.0,0.17391304347826086,0.8260869565217391
309,9.375,0.0,0.7083333333333334,0.2916666666666667
310,13.28125,0.390625,0.5142857142857142,0.4857142857142857
311,8.203125,0.0,0.8333333333333334,0.16666666666666666
312,8.984375,0.0,0.43478260869565216,0.5652173913043478
313,9.765625,1.171875,0.75,0.25
314,7.8125,0.390625,0.7619047619047619,0.23809523809523808
315,6.25,0.0,1.0,0.0
316,12.109375,0.0,0.8709677419354839,0.12903225806451613
317,8.984375,0.0,0.5652173913043478,0.43478260869565216
318,9.765625,0.390625,0.6923076923076923,0.3076923076923077
319,5.46875,0.0,0.07142857142857142,0.9285714285714286
320,8.984375,0.0,0.52,0.48
321,10.546875,0.0,0.8888888888888888,0.1111111111111111
322,9.765625,0.0,0.68,0.32
323,8.203125,0.0,0.8095238095238095,0.19047619047619047
324,11.328125,0.78125,0.9354838709677419,0.06451612903225806
325,9.375,0.0,0.20833333333333334,0.7916666666666666
326,5.46875,0.390625,0.3333333333333333,0.6666666666666666
327,5.859375,0.0,0.06666666666666667,0.9333333333333333
328,10.9375,0.0,0.6071428571428571,0.39285714285714285
329,13.671875,0.0,0.2857142857142857,0.7142857142857143
330,10.15625,0.390625,0.8888888888888888,0.1111111111111111
331,10.546875,0.0,0.2962962962962963,0.7037037037037037
332,7.421875,0.0,0.2631578947368421,0.7368421052631579
333,10.15625,0.78125,0.6785714285714286,0.32142857142857145
334,7.03125,0.0,0.2222222222222222,0.7777777777777778
335,8.984375,0.0,0.5652173913043478,0.43478260869565216
336,6.25,0.0,0.75,0.25
337,8.984375,0.78125,0.8461538461538461,0.15384615384615385
338,8.984375,0.0,0.625,0.375
339,14.0625,0.0,0.8611111111111112,0.1388888888888889
340,11.71875,0.390625,0.625,0.375
341,7.421875,0.0,0.9047619047619048,0.09523809523809523
342,10.15625,0.78125,0.7857142857142857,0.21428571428571427
343,10.9375,0.0,0.39285714285714285,0.6071428571428571
344,11.71875,0.390625,0.7575757575757576,0.24242424242424243
345,7.8125,0.390625,0.42857142857142855,0.5714285714285714
346,8.984375,0.390625,0.75,0.25
347,7.03125,0.0,0.8333333333333334,0.16666666666666666
348,8.984375,0.390625,0.625,0.375
349,9.375,0.390625,0.76,0.24
350,8.984375,0.78125,0.84,0.16
351,7.8125,0.390625,0.8571428571428571,0.14285714285714285
352,8.203125,0.0,0.8260869565217391,0.17391304347826086
353,10.546875,0.0,0.7037037037037037,0.2962962962962963
354,8.59375,0.0,0.34782608695652173,0.6521739130434783
355,6.25,0.0,0.0,1.0
356,9.765625,0.0,0.76,0.24
357,8.984375,0.0,0.2916666666666667,0.7083333333333334
358,9.765625,0.0,0.24,0.76
359,5.078125,0.390625,0.0,1.0
360,12.109375,0.0,0.7575757575757576,0.24242424242424243
361,8.984375,0.0,0.6521739130434783,0.34782608695652173
362,15.234375,0.0,0.48717948717948717,0.5128205128205128
363,10.15625,0.0,0.6538461538461539,0.34615384615384615
364,11.328125,0.0,0.7931034482758621,0.20689655172413793
365,6.640625,0.390625,0.5555555555555556,0.4444444444444444
366,10.546875,0.0,0.4444444444444444,0.5555555555555556
367,12.890625,0.0,0.2727272727272727,0.7272727272727273
368,10.15625,0.0,0.6923076923076923,0.3076923076923077
369,7.8125,0.0,0.9523809523809523,0.047619047619047616
370,8.984375,1.5625,0.7777777777777778,0.2222222222222222
371,4.6875,0.0,0.25,0.75
372,7.03125,0.78125,0.9,0.1
373,9.765625,0.0,0.64,0.36
374,7.421875,0.390625,1.0,0.0
375,7.03125,0.0,0.95,0.05
376,10.546875,0.390625,0.5714285714285714,0.42857142857142855
377,9.765625,0.390625,0.6923076923076923,0.3076923076923077
378,12.890625,0.0,0.12121212121212122,0.8787878787878788
379,7.421875,0.0,0.8947368421052632,0.10526315789473684
380,10.15625,0.0,0.23076923076923078,0.7692307692307693
381,10.546875,0.0,0.5925925925925926,0.4074074074074074
382,8.203125,0.0,0.6818181818181818,0.3181818181818182
383,13.671875,0.0,0.4,0.6
384,13.671875,0.0,0.918918918918919,0.08108108108108109
385,10.15625,0.0,0.9230769230769231,0.07692307692307693
386,12.890625,0.0,0.48484848484848486,0.5151515151515151
387,8.203125,0.0,1.0,0.0
388,10.546875,0.0,0.5925925925925926,0.4074074074074074
389,8.984375,0.0,0.4782608695652174,0.5217391304347826
390,9.765625,0.0,0.52,0.48
391,10.546875,0.390625,0.1724137931034483,0.8275862068965517
392,6.25,0.0,0.5625,0.4375
393,9.765625,0.0,0.48,0.52
394,5.859375,0.0,0.5333333333333333,0.4666666666666667
395,7.421875,0.0,0.8421052631578947,0.15789473684210525
396,8.59375,0.0,0.9130434782608695,0.08695652173913043
397,7.8125,0.390625,0.6190476190476191,0.38095238095238093
398,7.8125,0.0,0.7,0.3
399,7.03125,0.0,0.8888888888888888,0.1111111111111111
400,12.109375,0.0,0.6129032258064516,0.3870967741935484
401,8.203125,0.0,0.6190476190476191,0.38095238095238093
402,9.765625,0.0,0.5185185185185185,0.48148148148148145
403,9.375,0.0,0.5833333333333334,0.4166666666666667
