Vector,Density,Difficulty,SMB,KI
61,7.03125,0.0,0.0,1.0
62,20.3125,6.25,0.6666666666666666,0.3333333333333333
63,15.625,0.0,0.8,0.2
64,22.65625,0.0,0.5161290322580645,0.4838709677419355
65,19.53125,0.0,0.7407407407407407,0.25925925925925924
66,14.0625,0.0,0.9444444444444444,0.05555555555555555
67,17.96875,0.0,0.75,0.25
68,16.40625,0.0,0.8095238095238095,0.19047619047619047
69,21.875,6.25,0.8,0.2
70,24.21875,0.0,0.3225806451612903,0.6774193548387096
71,14.84375,6.25,1.0,0.0
72,17.96875,0.0,0.782608695652174,0.21739130434782608
73,24.21875,0.0,0.5483870967741935,0.45161290322580644
74,26.5625,0.0,0.5,0.5
75,18.75,0.0,0.625,0.375
76,19.53125,6.25,0.7142857142857143,0.2857142857142857
77,17.1875,0.0,0.7727272727272727,0.22727272727272727
78,19.53125,0.0,0.96,0.04
79,18.75,0.0,0.3333333333333333,0.6666666666666666
80,17.96875,0.0,0.6086956521739131,0.391304347826087
81,17.1875,0.0,0.13636363636363635,0.8636363636363636
82,11.71875,0.0,0.4,0.6
83,15.625,12.5,0.8181818181818182,0.18181818181818182
84,17.96875,6.25,0.625,0.375
85,15.625,12.5,0.9565217391304348,0.043478260869565216
86,17.96875,12.5,0.72,0.28
87,15.625,0.0,0.6,0.4
88,24.21875,0.0,0.3548387096774194,0.6451612903225806
89,17.1875,0.0,0.3181818181818182,0.6818181818181818
90,17.96875,18.75,0.9615384615384616,0.038461538461538464
91,17.96875,6.25,0.7916666666666666,0.20833333333333334
92,27.34375,0.0,0.6285714285714286,0.37142857142857144
93,7.03125,0.0,0.3333333333333333,0.6666666666666666
94,20.3125,0.0,0.37037037037037035,0.6296296296296297
95,16.40625,12.5,0.8333333333333334,0.16666666666666666
96,19.53125,6.25,0.8846153846153846,0.11538461538461539
97,21.09375,12.5,0.9655172413793104,0.034482758620689655
98,23.4375,6.25,0.5161290322580645,0.4838709677419355
99,10.15625,0.0,0.38461538461538464,0.6153846153846154
100,20.3125,6.25,0.5555555555555556,0.4444444444444444
101,19.53125,0.0,0.8,0.2
102,29.6875,0.0,0.34210526315789475,0.6578947368421053
103,17.1875,12.5,0.8888888888888888,0.1111111111111111
104,21.875,0.0,0.6071428571428571,0.39285714285714285
105,14.0625,0.0,0.9444444444444444,0.05555555555555555
106,19.53125,0.0,0.7931034482758621,0.20689655172413793
107,26.5625,0.0,0.3235294117647059,0.6764705882352942
108,21.875,6.25,0.3103448275862069,0.6896551724137931
109,18.75,0.0,0.4583333333333333,0.5416666666666666
110,14.0625,12.5,0.9090909090909091,0.09090909090909091
111,27.34375,12.5,0.7567567567567568,0.24324324324324326
112,35.9375,0.0,0.45652173913043476,0.5434782608695652
113,27.34375,0.0,0.5428571428571428,0.45714285714285713
114,14.0625,0.0,0.15789473684210525,0.8421052631578947
115,18.75,6.25,0.9615384615384616,0.038461538461538464
116,24.21875,0.0,0.41935483870967744,0.5806451612903226
117,15.625,6.25,0.8695652173913043,0.13043478260869565
118,18.75,0.0,0.625,0.375
119,17.1875,0.0,0.9545454545454546,0.045454545454545456
